Hombres,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0,83389,88580,93961,99215,104246,108988,113422,117168,120898,124739,128700,131513,133178,134922,136611,138290,139921,141531,143141,144781,146121,146970,147904,148502,148938,148971,148530,148616,148825,148957,149203,149344,149572,149769,150267,150844,151127,150840,150916,150974,151233,150481,149226,147782,146242,144644,142712
1,79752,84984,90346,95803,101131,106234,111038,115531,119346,123232,127245,130030,131584,133274,134944,136538,138097,139594,141054,142543,143922,144842,145950,147285,148318,148926,149357,149537,149613,149619,149793,149718,149838,150139,150520,151230,152055,152015,152033,151955,152305,151428,149940,148419,146940,145247,143646
2,77534,82672,88037,93479,99023,104447,109646,114537,119103,123003,126961,129621,130969,132435,133970,135478,136909,138313,139651,140974,142323,143607,144535,145921,147575,148701,149621,150336,150556,150444,150549,150395,150266,150398,150798,151306,152196,152795,153028,152925,153095,152299,150774,149125,147636,146083,144464
3,75369,80361,85646,91089,96608,102240,107752,113029,117983,122624,126567,129112,130293,131565,132910,134320,135702,137011,138296,139527,140740,142270,143501,144635,146264,147971,149349,150349,151145,151210,151234,150973,150772,150624,150817,151284,151928,152700,153541,153686,153783,152805,151440,149834,148273,146770,145339
4,73183,78005,83132,88489,94003,99604,105320,110908,116249,121272,125961,128454,129495,130619,131803,133056,134374,135671,136895,138097,139245,140839,142287,143670,144989,146649,148555,149903,151005,151672,151885,151486,151194,150948,150850,151058,151633,152259,153238,154029,154331,153304,151827,150420,148951,147420,146060
5,70954,75638,80580,85770,91196,96787,102465,108256,113915,119323,124391,127624,128610,129609,130672,131794,132984,134247,135487,136648,137790,139461,140967,142522,144044,145383,147202,149002,150467,151463,152288,152005,151598,151250,151029,150910,151200,151842,152643,153603,154519,153744,152291,150814,149556,148137,146760
6,68680,73255,78047,83048,88301,93797,99465,105214,111079,116804,122260,125884,127617,128570,129535,130562,131645,132802,134032,135229,136348,138113,139691,141268,142931,144464,145930,147600,149524,150899,152059,152307,152033,151565,151226,150960,150903,151328,152121,152923,153977,153886,152753,151324,150001,148806,147543
7,66363,70836,75512,80360,85418,90739,96308,102046,107868,113801,119577,123615,125759,127475,128413,129361,130367,131438,132584,133787,134961,136763,138435,140061,141719,143386,145026,146319,148111,149962,151502,151997,152271,151938,151465,151066,150848,150977,151528,152342,153217,153343,152952,151859,150586,149332,148290
8,63967,68376,72945,77676,82580,87701,93092,98730,104542,110432,116420,120815,123413,125551,127266,128207,129154,130169,131244,132382,133577,135465,137176,138875,140553,142215,143967,145431,146844,148577,150591,151376,151916,152133,151786,151237,150877,150880,151116,151705,152568,152601,152491,152151,151209,150011,148906
9,61455,65826,70331,74955,79743,84707,89897,95356,101067,106949,112895,117552,120556,123161,125317,127054,128012,128986,130025,131111,132261,134169,135966,137689,139413,141092,142812,144405,145988,147352,149246,150417,151259,151746,151945,151514,151003,150883,150968,151252,151866,151982,151843,151792,151596,150733,149682
10,58798,63148,67615,72178,76860,81710,86742,91999,97530,103315,109260,113932,117259,120291,122931,125124,126898,127904,128923,129996,131116,132942,134759,136546,138272,139990,141708,143299,145007,146551,148071,149033,150277,151076,151543,151654,151258,150990,150929,151068,151356,151325,151325,151248,151336,151223,150500
11,56046,60376,64821,69350,73972,78718,83639,88739,94069,99674,105526,110256,113663,117034,120113,122806,125053,126885,127951,129019,130142,131878,133622,135421,137195,138914,140661,142289,143986,145658,147350,147850,148903,150118,150900,151285,151439,151274,151043,151026,151148,150898,150799,150854,150904,151066,151078
12,53279,57566,61992,66504,71095,75787,80604,85594,90768,96170,101842,106540,110070,113529,116954,120093,122844,125157,127060,128185,129311,130973,132640,134360,136143,137923,139667,141361,143077,144735,146537,147136,147755,148792,149999,150713,151152,151505,151364,151153,151104,150805,150520,150451,150613,150715,150980
13,50545,54751,59136,63628,68204,72865,77629,82518,87581,92826,98292,102863,106419,110002,113513,116997,120193,123013,125398,127360,128542,130129,131729,133374,135075,136876,138682,140397,142172,143834,145615,146290,147046,147662,148707,149848,150636,151237,151618,151472,151230,150875,150560,150274,150294,150471,150654
